year,value,Division,NPC
2013,234.0,Bedok Police Division,Geylang NPC
2013,62.0,Bedok Police Division,Marine Parade NPC
2013,59.0,Bedok Police Division,Pasir Ris NPC
2013,99.0,Bedok Police Division,Tampines NPC
2013,74.0,Jurong Police Division,Bukit Batok NPC
2013,49.0,Jurong Police Division,Bukit Panjang NPC
2013,95.0,Jurong Police Division,Choa Chu Kang NPC
2013,97.0,Jurong Police Division,Jurong West NPC
2013,119.0,Jurong Police Division,Nanyang NPC
2013,,Jurong Police Division,Woodlands NPC
2013,93.0,Jurong Police Division,Woodlands East NPC
2013,87.0,Jurong Police Division,Woodlands West NPC
2013,,Woodlands Police Division,Woodlands East NPC
2013,,Woodlands Police Division,Woodlands West NPC
2013,,Woodlands Police Division,Yishun North NPC
2013,,Woodlands Police Division,Yishun South NPC
2013,,Woodlands Police Division,Sembawang NPC
2013,,Woodlands Police Division,Checkpoint
2014,103.0,Central Police Division,Bukit Merah East NPC
2014,113.0,Central Police Division,Marina Bay NPC
2014,126.0,Central Police Division,Rochor NPC
2014,66.0,Clementi Police Division,Bukit Merah West NPC
2014,71.0,Clementi Police Division,Clementi NPC
2014,68.0,Clementi Police Division,Jurong East NPC
2014,57.0,Clementi Police Division,Queenstown NPC
2014,35.0,Tanglin Police Division,Bishan NPC
2014,40.0,Tanglin Police Division,Bukit Timah NPC
2014,51.0,Tanglin Police Division,Kampong Java NPC
2014,138.0,Tanglin Police Division,Orchard NPC
2014,60.0,Tanglin Police Division,Toa Payoh NPC
2014,45.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2014,41.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2014,55.0,Ang Mo Kio Police Division,Hougang NPC
2014,14.0,Ang Mo Kio Police Division,Punggol NPC
2014,34.0,Ang Mo Kio Police Division,Sembawang NPC
2014,57.0,Ang Mo Kio Police Division,Sengkang NPC
2014,46.0,Ang Mo Kio Police Division,Serangoon NPC
2014,50.0,Ang Mo Kio Police Division,Yishun North NPC
2014,24.0,Ang Mo Kio Police Division,Yishun South NPC
2014,150.0,Bedok Police Division,Bedok NPC
2014,48.0,Bedok Police Division,Changi NPC
2014,191.0,Bedok Police Division,Geylang NPC
2014,39.0,Bedok Police Division,Marine Parade NPC
2014,49.0,Bedok Police Division,Pasir Ris NPC
2014,85.0,Bedok Police Division,Tampines NPC
2014,44.0,Jurong Police Division,Bukit Batok NPC
2014,44.0,Jurong Police Division,Bukit Panjang NPC
2014,60.0,Jurong Police Division,Choa Chu Kang NPC
2014,100.0,Jurong Police Division,Jurong West NPC
2014,78.0,Jurong Police Division,Nanyang NPC
2014,,Jurong Police Division,Woodlands NPC
2014,107.0,Jurong Police Division,Woodlands East NPC
2014,91.0,Jurong Police Division,Woodlands West NPC
2014,,Woodlands Police Division,Woodlands East NPC
2014,,Woodlands Police Division,Woodlands West NPC
2014,,Woodlands Police Division,Yishun North NPC
2014,,Woodlands Police Division,Yishun South NPC
2014,,Woodlands Police Division,Sembawang NPC
2014,,Woodlands Police Division,Checkpoint
2015,83.0,Central Police Division,Bukit Merah East NPC
2015,112.0,Central Police Division,Marina Bay NPC
2015,109.0,Central Police Division,Rochor NPC
2015,48.0,Clementi Police Division,Bukit Merah West NPC
2015,54.0,Clementi Police Division,Clementi NPC
2015,52.0,Clementi Police Division,Jurong East NPC
2015,52.0,Clementi Police Division,Queenstown NPC
2015,29.0,Tanglin Police Division,Bishan NPC
2015,29.0,Tanglin Police Division,Bukit Timah NPC
2015,43.0,Tanglin Police Division,Kampong Java NPC
2015,108.0,Tanglin Police Division,Orchard NPC
2015,51.0,Tanglin Police Division,Toa Payoh NPC
2015,31.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2015,39.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2015,95.0,Ang Mo Kio Police Division,Hougang NPC
2015,25.0,Ang Mo Kio Police Division,Punggol NPC
2015,17.0,Ang Mo Kio Police Division,Sembawang NPC
2015,51.0,Ang Mo Kio Police Division,Sengkang NPC
2015,34.0,Ang Mo Kio Police Division,Serangoon NPC
2015,49.0,Ang Mo Kio Police Division,Yishun North NPC
2015,39.0,Ang Mo Kio Police Division,Yishun South NPC
2015,103.0,Bedok Police Division,Bedok NPC
